filename 	h264_qsv_medium	h264_qsv_veryfast	hevc_qsv_hw_medium	hevc_qsv_hw_faster	hevc_qsv_hw_veryfast	hevc_qsv_sw_medium	hevc_qsv_sw_veryfast	qy265_medium	qy265_fast	qy265_veryfast	x264_medium	x265_medium	x265_veryfast
316712195_old.mp4	-13.8050125249	-1.91435819518	-53.4281548259	-48.1076028646	-46.7566705605	-53.1663489579	-46.5827194094	-48.3568831183	-46.4439893502	-44.3318895859	-21.5399869259	-43.0024054959	-36.3637809504
370108669_old.mp4	-11.421993516	2.7509878223	-58.9264341024	-54.7682780626	-53.3958083085	-58.5423151689	-52.6089349185	-54.084095373	-52.667349431	-49.8722779605	-16.0330336575	-42.9749850799	-38.5371001917
522270587_old.mp4	-1.08076787964	7.29133478197	-47.8350934314	-43.078555262	-42.3611796846	-45.6275850141	-39.6362482309	-40.8210178072	-39.2134840657	-34.5128842602	-13.7513047064	-39.5298898985	-34.2633180644
469042201_old.mp4	-11.7762751845	-3.5304535699	-35.6237233736	-28.4163842349	-27.1002423064	-35.4871970339	-26.6432122952	-27.4800607968	-26.360626044	-21.4828558709	-17.8648185406	-23.8888025984	-6.71539596366
408527830_old.mp4	-13.1160450988	-5.26830862428	-59.4684391381	-52.5427614219	-51.3028634447	-59.8207010044	-51.8758518962	-58.8388466897	-57.0295247451	-54.1986179996	-25.237796605	-52.253151243	-43.864413631
523739759_old.mp4	-17.6634517601	-8.28325886177	-43.2689667586	-36.2661423417	-35.0129409621	-43.9194966727	-36.2471497138	-38.2611861453	-37.1289424757	-32.686971893	-14.3269547981	-29.6797499234	-21.0482561618
561206317_old.mp4	-7.3214590432	5.83255189401	-48.6192310448	-42.1352834784	-40.7899032336	-49.6524980335	-41.703943834	-40.8998863737	-39.9927365622	-35.6227463472	-17.5235094009	-38.3236583903	-33.8865731482
626696816_old.mp4	-13.0345385469	3.03903826501	-45.9498715016	-40.3331584301	-38.8982266494	-45.653360895	-38.2367667765	-43.071872561	-41.2271722984	-38.2639543681	-19.2097230941	-36.6179055228	-31.3831748583
629744388_old.mp4	-20.8133048513	-14.9187932631	-49.2066539036	-42.9643420446	-42.1297471607	-44.0279051815	-36.7550060157	-35.9906682603	-35.0962251162	-30.9018055683	-24.1192394144	-33.3621055566	-18.6112148274
VID_20160804_164352.mp4	-7.69431015302	-0.885357550783	-47.1232589899	-42.4993698555	-41.4605706252	-46.3844620205	-40.7007670459	-44.8307953734	-44.3673668505	-41.7680776582	-16.1623442038	-38.9401397259	-34.4140413788
399353335_old.mp4	-15.9353593596	-4.6775311077	-52.2183871923	-45.1936019723	-43.737243152	-53.5308511352	-44.7501652492	-47.5448860027	-45.8619317325	-43.2482082726	-17.2834869873	-39.1500955256	-34.0096027214
431516578_old.mp4	-19.2555103335	-5.00865147472	-66.1422565698	-63.3543467449	-62.825133079	-65.2080840391	-61.4164523271	-64.2756916266	-63.0265759478	-59.2674698187	-21.605331096	-47.6772084088	-46.9991032965
328903993_old.mp4	-15.8123817742	-5.23931540267	-57.8185702857	-52.8984474383	-51.3318971403	-59.1316983334	-51.9619542129	-50.6411471279	-49.4343347317	-46.6224461848	-23.4014085397	-42.0107867718	-38.789309894
371894311_old.mp4	-14.1226258349	-1.34856857463	-63.9549335738	-58.5088967327	-57.9327633318	-63.3832778629	-57.1716577642	-55.0060758779	-53.1174016984	-49.2012817856	-18.7118914115	-47.5191054558	-42.8230150845
405560776_old.mp4	-13.3966167211	-4.63171641606	-42.5060179593	-35.8799979054	-34.6869862692	-40.0734102322	-31.5029001761	-30.0670985094	-29.4506664878	-25.8720580769	-17.3351279171	-26.0280018465	-13.9494205658
477647862_old.mp4	-7.97752444756	0.239083701068	-52.5276155012	-44.2387880914	-42.4844858069	-52.2708246367	-42.6278737133	-46.3693743699	-44.4712586339	-40.3783708962	-16.0324857896	-36.9815655178	-26.4353188583
526653214_old.mp4	-8.90516023215	5.21376498793	-42.2773061933	-31.6488079922	-30.3158038726	-42.7527706844	-32.0675146371	-34.3096031462	-31.8027675843	-28.8883695852	-21.3273394308	-29.1785895914	-22.1477887209
529499431_old.mp4	-12.296586349	3.19469776681	-48.2039065362	-41.2837562355	-40.2630355879	-49.3188434836	-41.5790370397	-43.5950838818	-41.4175646727	-36.5727320698	-15.9815336077	-37.7092042179	-29.2346691299
580508812_old.mp4	-7.14868596427	1.14669473194	-46.7702975918	-36.9398317777	-36.4603795167	-44.9299444813	-35.0851282009	-37.0406332055	-36.7744496441	-30.7378339519	-21.2674169188	-34.2361301458	-20.1988899248
518804294_old.mp4	-37.0371084108	-27.0952805432	-59.632214737	-55.2850058535	-54.4257707988	-53.0739188811	-46.7021031694	-53.2061741743	-52.932581991	-49.5815789602	-16.051888678	-43.9862111546	-31.5797290911
573347832_old.mp4	-18.3912156969	-13.2055028593	-35.392869366	-28.5689987783	-27.262071454	-29.5413818084	-20.0729296395	-28.715432884	-29.1925708562	-20.9633657847	-18.6431648728	-27.6814503566	-9.91455343161
619481491_old.mp4	-20.1767077224	-11.1410304551	-43.2087705696	-34.9382045153	-33.7732913381	-44.2183851605	-33.9990554429	-35.6961783343	-36.070812132	-29.9765805462	-21.3138295813	-31.4748030912	-17.0562899232
462706464_old.mp4	-29.0131329685	-14.9495551418	-63.9711656706	-57.1272477193	-56.0892528797	-64.2061760141	-56.6753565848	-57.5569286294	-55.2693126269	-52.9578603228	-27.2497867828	-49.0611887581	-41.58371804
408241470_old.mp4	-17.316732322	0.594331208552	-69.0387884774	-64.8126728883	-64.3175114811	-68.7157216003	-64.7455306833	-64.9699172629	-62.4926535174	-57.4848560269	-23.6013882648	-50.9761253158	-51.7691674454
544564132_old.mp4	-13.7163300949	-8.25278531554	-43.328945357	-38.0472148569	-36.7952582375	-37.0152612848	-30.2092418236	-29.8472875483	-30.6228078921	-27.3599427588	-22.3637913909	-35.4801981178	-17.5659799842
631858082_old.mp4	-16.8429789016	27.2736177694	-83.6180663497	-74.1713716879	-67.0117336037	-98.6971985097	-26.7639944157	-70.4232903768	-68.2632823996	-46.7949502372	-21.6123825251	-42.8134082078	-45.6227152689
559599141_old.mp4	-12.3027396446	1.10108012039	-47.7320293901	-39.9978861661	-38.3377625935	-48.0085197011	-38.6524365583	-43.1799586967	-41.1040500899	-37.4341455771	-16.7903134988	-36.1642065162	-30.221095109
