filename 	h264_qsv_medium	h264_qsv_veryfast	hevc_qsv_hw_medium	hevc_qsv_hw_faster	hevc_qsv_hw_veryfast	hevc_qsv_sw_medium	hevc_qsv_sw_veryfast	qy265_medium	qy265_fast	qy265_veryfast	x264_medium	x265_medium	x265_veryfast
316712195_old.mp4	-12.4974697159	5.75852757261	-49.3125539451	-44.6433580815	-43.2112773508	-49.2250563371	-43.2181634849	-45.8395204217	-43.7163725276	-41.2592104971	-16.8560685415	-42.2322662854	-35.3036290469
370108669_old.mp4	-6.81025383994	11.4126914376	-55.0679544758	-51.1523100814	-49.8785955048	-54.5843989107	-48.8833426444	-48.9796410102	-47.1889025489	-43.7643700833	-7.00346867579	-36.2201753244	-32.2686223079
522270587_old.mp4	7.30755910883	13.9818825204	-46.3315136298	-42.4112936678	-41.9104762473	-44.3764024235	-40.2360612181	-43.4788807957	-41.780920905	-37.5841083213	-15.2781881995	-48.7007841779	-44.1159475466
469042201_old.mp4	-1.33129684328	10.4533815809	-27.347504439	-20.9497834613	-19.9193575893	-25.3965327745	-17.6940282424	-20.2548587899	-17.8789262163	-13.3225820175	-16.8887161434	-27.3307907665	-15.9994946737
408527830_old.mp4	-0.200785566008	4.67270322646	-50.0833961228	-42.5981197546	-41.4364921975	-50.1731449629	-42.1550112389	-50.0567091158	-46.5488534056	-43.0439170455	-19.813528021	-43.4801738248	-33.7467510008
523739759_old.mp4	-9.54261595535	2.61831366765	-30.8873801405	-24.987100874	-23.8443368546	-31.4359917333	-24.5671446003	-28.9074868227	-27.826926647	-23.803973112	-10.5216717414	-29.5066244326	-23.551282078
561206317_old.mp4	-1.53823698191	16.7485414847	-43.1843128601	-37.5570846287	-36.3734593366	-44.4653704706	-37.240437889	-37.8159014754	-36.5651686086	-31.5285866975	-13.0663126054	-39.1619452156	-35.4265894582
626696816_old.mp4	-5.64323371107	13.4883076551	-38.7101777184	-33.9664528456	-33.1357603995	-38.4300327444	-32.2755208819	-38.1487663034	-35.8174205816	-32.8054475709	-13.68760167	-35.2931362295	-32.4169360159
629744388_old.mp4	-17.1491853375	-10.5290441156	-44.784175438	-39.0935008453	-38.2451242384	-37.3515167824	-30.6353005954	-32.7021907562	-30.6149408174	-27.0051505398	-25.2815657461	-43.6693014364	-30.6666254626
VID_20160804_164352.mp4	1.01661867604	8.95834113291	-40.4030973071	-37.2649385334	-36.3035624701	-39.5053684911	-35.6856331841	-37.2388746403	-35.5606601349	-32.645678694	-11.5436719624	-40.4242229511	-35.4625252982
399353335_old.mp4	-8.10462213427	7.94985052049	-45.6576390212	-37.198215217	-36.1641455341	-46.9901227606	-37.8980151863	-40.2254455756	-37.6687300926	-33.9918645881	-13.0728939101	-33.2359340966	-28.4432676201
431516578_old.mp4	-14.6309936463	-7.18779106507	-64.1421580645	-61.0148954829	-60.7117801827	-63.1950052825	-59.4534117277	-58.0305618077	-56.1903203845	-51.5664106623	-12.372453535	-38.7172327564	-40.6277189778
328903993_old.mp4	-10.0347811782	4.85376659533	-52.5658072974	-47.6880744792	-46.3450314445	-54.7282190257	-47.2188050167	-44.4342773723	-42.6008767003	-38.7823542086	-19.7214717819	-37.6988330972	-35.436699958
371894311_old.mp4	-10.110924728	13.3325104624	-59.1515797378	-54.493484906	-53.9143378279	-58.2968984331	-52.9006910293	-49.6276828694	-47.9467574832	-41.8318831073	-12.8866546053	-40.1699477531	-34.9668914936
405560776_old.mp4	-5.52927225131	5.61137507921	-34.1341095897	-28.1661858478	-27.1693492414	-30.5672569945	-22.6646078646	-22.3090330129	-20.8893729572	-16.3632446047	-14.8113867076	-29.5153325723	-20.3453288538
477647862_old.mp4	-0.710550824093	5.23982857605	-46.8074861285	-38.6750083356	-36.9915893188	-46.48645159	-37.3397578513	-41.2069872908	-38.7899915147	-33.7663995244	-12.8593821739	-34.1705542679	-22.6330850106
526653214_old.mp4	3.37244011894	30.2782143444	-27.4963731423	-14.1676818514	-13.7965944035	-28.9214144036	-15.6741871067	-23.3651470289	-21.1519495142	-13.7746278878	-22.4937677113	-26.3883907462	-17.5339110115
529499431_old.mp4	-1.46611367234	17.9913847429	-35.952846058	-30.0154483276	-28.9073486997	-37.7832510972	-30.824803741	-32.5933885553	-30.100050599	-24.8767810706	-6.67051571435	-34.4447972486	-27.9889689726
580508812_old.mp4	-2.34958019227	5.56754506266	-33.4817152687	-27.9918065843	-28.1501259018	-33.6529440654	-26.2300564042	-32.3762836247	-30.9175892863	-24.7734660236	-17.3498651104	-41.2888858437	-29.1876874604
518804294_old.mp4	-28.772702888	-16.3349345112	-53.2682815895	-49.2536810992	-48.6226585025	-46.0287769672	-40.3703015273	-48.1830136336	-46.9290647216	-43.5467584976	-13.1279921907	-45.8090053536	-36.5055171026
573347832_old.mp4	-19.5035156724	-13.3188778971	-34.0977139918	-28.6243708713	-27.4592969239	-26.8583195332	-18.4722721608	-37.3086474453	-36.2379863147	-28.1661829134	-20.647209789	-41.6616126312	-26.3750699135
619481491_old.mp4	-11.1059018388	-0.890250712825	-33.1326733158	-25.1106737749	-24.4201854589	-33.0683303213	-23.5077955526	-24.9567184861	-24.3138865132	-17.5662703167	-19.3202265501	-29.6954685605	-18.1503669378
462706464_old.mp4	-23.2241307109	-3.00183035541	-58.2454046379	-49.6046675842	-48.270877384	-58.5414005254	-49.274915361	-51.2468425854	-48.2690750919	-45.5921530035	-23.6952876328	-45.2714706894	-37.9881260254
408241470_old.mp4	-16.6109954575	1.74703889675	-67.5490672658	-64.174753086	-64.0156985401	-68.7633798802	-65.7877967636	-61.8943418372	-58.0998786267	-52.9571814394	-16.746370368	-52.3390823106	-52.7782960585
544564132_old.mp4	-7.23972440945	-0.996692556708	-41.282721447	-37.2507166978	-36.2361967367	-35.1727651192	-29.9446040877	-33.1679848463	-32.6921700107	-30.0510249821	-18.8117676167	-45.1096097013	-28.8107283492
631858082_old.mp4	-4.78234969928	23.3372904163	-50.4758720902	-46.074987957	-45.336017207	-50.5533480704	-45.0711198468	-43.8803443954	-42.3217501499	-38.884292833	-17.6302823687	-37.9745640055	-35.3823860027
559599141_old.mp4	-4.93926382	12.6590128382	-42.4887095097	-34.8010110269	-33.5476097433	-42.8958799901	-33.8565463155	-39.2880416917	-36.3387630374	-31.9469029358	-14.2125286588	-37.2412437842	-33.0912582993
402134623_old.mp4	4.82241829591	13.8222450689	-40.9875328009	-35.8026261517	-34.6878362183	-41.3047734535	-34.3796469971	-27.7716530169	-24.6179747948	-19.3260214023	-0.322459287948	-12.9710986629	-15.3582471628
552802455_old.mp4	-7.44261331048	3.50503734021	-36.5929543124	-30.6233157535	-30.264223015	-37.6806978505	-30.1933205649	-38.1416251029	-37.0403691456	-32.5017214771	-15.4249127212	-35.0276073194	-27.0045901158
548571447_old.mp4	0.786563004617	13.3449653337	-43.0482013443	-36.7231762612	-35.9278583504	-42.7511077358	-35.9264952519	-41.8763590524	-39.6758647948	-35.943945345	-12.7280221959	-38.4353875216	-36.8779364093
409279508_old.mp4	-0.43220248951	9.54804079732	-55.6462988645	-51.5471690627	-50.9449155719	-56.4623702055	-51.4718690106	-50.3417535701	-44.9625582029	-40.7062658469	-7.58084673539	-40.8381353449	-42.6817879898
368705245_old.mp4	-0.508848071224	15.6191147236	-33.2487130365	-28.2282144623	-27.2512559443	-32.4181989033	-25.7199682424	-26.8008733733	-25.666637954	-21.0067642701	-15.3695898892	-36.5441979209	-26.9061073477
495723627_old.mp4	-3.97294273863	4.79773599098	-32.4755830074	-27.748695655	-27.1504996156	-33.7933156338	-27.9054155273	-29.098293686	-27.9125030402	-20.7190032979	-17.2479401523	-38.2529422936	-28.7870776751
391269500_old.mp4	-4.76599358265	7.30829947972	-52.5071657259	-40.0547166998	-38.9656162887	-52.2239419709	-35.1048779479	-46.4740297062	-44.6839813191	-42.0528889296	-13.1474750722	-44.1962642306	-37.7164007069
371449484_old.mp4	-11.9564239755	-6.19003492648	-32.9405410269	-29.3391353325	-28.2178135987	-29.1452076591	-21.5641540508	-38.1544986997	-36.0330329873	-30.633687798	-20.8530883679	-37.2047101002	-33.7372543062
465872783_old.mp4	-5.78374170854	9.63084063844	-36.8393144912	-30.5117224886	-29.3297273955	-36.2564057493	-28.2402849471	-33.4025164012	-31.7155183285	-28.2523315639	-17.2916544854	-30.4117180028	-28.2882182541
417627194_old.mp4	-3.99708331811	4.72982587708	-48.3588547426	-42.1781249862	-41.4865455521	-47.0634494591	-41.345178102	-44.8096062303	-42.5583984202	-37.7538539355	-13.5281954305	-38.1533367866	-33.7619816356
501689627_old.mp4	-10.7178166121	-1.01159778884	-54.1651613784	-43.5131125462	-42.384847865	-54.183234809	-44.1105843847	-47.5952912376	-42.5989148791	-32.5704767119	-21.6161402221	-48.6246342756	-44.3988043679
328646216_old.mp4	-6.24227147428	13.3146555004	-48.9009230782	-37.7375602967	-36.8372655841	-50.3672945184	-40.204536673	-37.8968799313	-34.2013095032	-31.5424839623	-18.296888109	-35.0662431597	-24.0022014026
518806681_old.mp4	-3.58979787193	9.42593866344	-29.8153959478	-21.6627658639	-20.6770114812	-29.4146170855	-20.6787210025	-18.95637689	-18.9444752054	-13.3704319	-18.7028417734	-34.0780617339	-13.7617289509
630217362_old.mp4	-15.6732629611	-6.96122598536	-35.9519832107	-30.5690426493	-29.6734717393	-36.2780919014	-29.3440529195	-33.3272548669	-32.9242343669	-25.1301988075	-20.9638185517	-35.4519455776	-21.1645306188
412677059_old.mp4	-4.65595335992	17.0460459277	-42.6080899708	-35.8097678683	-34.5084133517	-42.9751082949	-35.8118631011	-37.4035417387	-34.8956656395	-29.5251775768	-10.2707865608	-33.523170769	-28.7909403945
639885982_old.mp4	-2.62131997806	12.4707167553	-32.4299733066	-25.8195471526	-24.7057999548	-31.8069429233	-24.4200635508	-26.694417997	-22.9714884188	-18.9261087163	-11.4134882209	-24.3406871066	-20.0569863626
574532803_old.mp4	-12.1697159652	10.6867938011	-57.7972072327	-49.9264032935	-49.5388573998	-57.0464791842	-48.5734339816	-49.0452939662	-46.1075137896	-41.2898189376	-12.6432356935	-43.7478028603	-35.4769868862
524913770_old.mp4	-7.74245196779	6.2357073199	-50.8830022307	-42.5180234208	-41.3322033285	-51.1393544379	-41.8587525529	-46.1368091135	-43.249528064	-38.8357370847	-13.3248394306	-42.6465239119	-37.8018686321
407290400_old.mp4	-10.8245786169	3.28473110468	-57.0591415819	-50.4653624656	-49.8289450693	-58.2553728466	-51.2344509846	-50.8452906173	-47.712540203	-42.6119943496	-12.8593556595	-40.8611035823	-40.0504790215
348404815_old.mp4	-9.56755135968	6.39099113047	-39.3897739447	-31.1538997005	-30.2830698831	-39.5553490227	-30.9255939483	-32.0557969875	-30.3249124262	-25.0969158701	-20.3911265809	-33.5228661836	-25.6617115277
VID_20160720_134151.mp4	-8.15007068757	1.18244725576	-45.7273776034	-42.1591780842	-41.0120003	-45.4559444829	-39.8851447285	-43.0283076585	-40.3102072246	-36.3464956627	-12.5960790915	-40.3517042839	-38.6062697642
626707122_old.mp4	-4.25040021624	10.1704726533	-44.5414004317	-33.5948268424	-32.4399003132	-44.2585163107	-32.7369090072	-40.0816763242	-37.6401814311	-33.256477002	-15.7012602618	-34.0728404536	-28.4093631455
559829338_old.mp4	1.9596868985	12.5940175221	-34.4283143699	-27.7378072602	-26.5983074095	-32.7665646868	-25.1052923998	-23.5710328637	-21.7936170792	-17.6837832267	-14.301585547	-37.0693253296	-25.3399798005
543500140_old.mp4	-11.7604458023	-4.91867495687	-46.5150022006	-37.1534351663	-36.3128230198	-43.1436846726	-35.3705952682	-38.1091710544	-37.8244805114	-34.5947165892	-26.2410887805	-42.9183642415	-28.3042742279
590546720_old.mp4	-23.375049071	-16.4525998341	-58.2033791173	-48.4220734937	-47.6818011676	-57.5172003865	-48.8055173396	-56.7835518297	-54.3053326676	-52.5713462579	-22.6476204104	-39.3774333857	-35.5394381881
545583764_old.mp4	-5.58797466182	4.41964307867	-46.6076649261	-39.7434661875	-39.0271153724	-46.1449671428	-39.6403798169	-43.7573464037	-42.3965602648	-37.7740774873	-13.0260253447	-39.9606938194	-37.0854424512
