filename 	h264_qsv_medium	h264_qsv_veryfast	hevc_qsv_hw_medium	hevc_qsv_hw_faster	hevc_qsv_hw_veryfast	hevc_qsv_sw_medium	hevc_qsv_sw_veryfast	qy265_medium	qy265_fast	qy265_veryfast	x264_medium	x265_medium	x265_veryfast
316712195_old.mp4	24.1254300073	22.553051649	103.376999509	52.7337101627	51.0673986056	168.320237302	70.2343600634	34.8996617776	26.4454900004	5.64606403356	47.0971380663	180.253996821	107.494505638
370108669_old.mp4	12.4491459313	13.4852401737	79.1996085868	44.6660801804	41.9455490604	142.647697839	62.6669246727	25.650973114	19.7168739613	0.565759276023	45.6301471253	177.146800422	106.087751076
522270587_old.mp4	14.1208738929	16.7118272172	133.20608862	60.3927163675	57.4950457501	230.331017797	90.9802279187	64.2123656085	46.2133004274	3.75137379916	60.1175377928	217.997710412	124.974152464
469042201_old.mp4	17.4097215336	15.868244203	122.355053363	54.9675476871	51.9222711346	215.260537433	79.6780140638	44.2494811556	32.4736295283	8.37109935572	45.4194111994	147.872131654	83.4594144805
408527830_old.mp4	14.5916596384	13.6366994951	104.137524037	47.7815409551	45.1429905101	167.931717092	66.6150909947	31.1184293535	21.2637370405	0.0423722329445	45.1695145605	197.579810896	119.487996191
523739759_old.mp4	32.0795238706	31.3530655279	110.713298781	61.6041323069	58.9272204754	167.931472603	75.7180748289	41.2319009614	29.986322471	8.21842245621	46.0778189498	155.868635059	78.372603068
561206317_old.mp4	16.2063011982	14.9284000049	86.2092683204	39.3855514312	36.4474057222	137.051457712	51.442288953	26.4648300324	18.6474999255	3.61503339552	38.6721471546	134.344782433	76.9792527931
626696816_old.mp4	23.7040113399	19.6930176197	130.009044138	65.1439964628	64.0170335168	240.205263566	97.7964448953	55.0059227402	40.0605808865	6.35888366175	69.4311588389	249.399951655	142.4891693
629744388_old.mp4	26.5353279723	22.7013220659	124.052268584	57.7714413163	52.7386293086	182.606959356	72.2291765008	39.366720997	26.8172607591	3.33885580824	46.3349305916	138.019970463	71.0185235683
VID_20160804_164352.mp4	18.0272088929	15.3168312641	149.519525454	64.7772771664	58.9417636945	285.946971197	90.147778945	46.8471885103	30.8515096295	-3.70678111131	65.5923360314	261.132194017	154.192430279
399353335_old.mp4	15.1694175802	14.9823033201	87.2284543421	43.5251476929	41.1154496796	164.282245776	63.6851856203	27.6465274621	19.7029058701	-1.6596090258	49.3281486632	183.215451663	111.652616595
431516578_old.mp4	17.7802042742	16.8542773221	88.2953717267	47.815020663	46.3781767946	145.492352717	64.6451221004	21.0322065278	15.8797112406	-1.23983799751	50.8829921147	192.067637429	112.142072278
328903993_old.mp4	17.5738766863	17.4891962715	119.035518974	54.8200149165	51.1280646194	234.139554089	77.372605128	37.2505539073	25.0100457149	-1.60215595249	63.57608227	253.815505661	146.481995193
371894311_old.mp4	18.5174001465	16.4728236559	78.5359668985	47.3216283949	46.0874335825	131.663724628	63.3569154805	23.7835111735	17.7409187134	0.433256227041	48.108643124	152.729207464	84.4287852144
405560776_old.mp4	17.3218670901	16.591317989	110.465417324	51.2098788816	48.9765480406	194.743575688	74.5818129989	38.0538384458	29.9808132227	6.36736583781	43.403298902	154.19757947	91.0996297433
