filename 	h264_qsv_medium	h264_qsv_veryfast	hevc_qsv_hw_faster	hevc_qsv_hw_medium	hevc_qsv_hw_veryfast	hevc_qsv_sw_medium	hevc_qsv_sw_veryfast	qy265_medium	qy265_fast	qy265_veryfast	x264_medium	x265_medium	x265_veryfast
371894311_old.mp4	-14.1226258349	-1.34856857463	-58.5088967327	-63.9549335738	-57.9327633318	-63.3832778629	-57.1716577642	-55.122388979	-52.8658933059	-49.203041915	-18.7118914115	-47.5191054558	-42.8230150845
888473142_old.mp4	-14.6044122767	-6.10254679882	-40.7530565041	-47.7523659737	-39.2645257856	-47.9505158538	-38.6243352571	-41.6780169421	-40.1157803518	-36.9753009484	-19.2849541493	-33.1130429523	-28.8235456558
923374493_old.mp4	-15.8560116086	-1.82878920376	-44.3581005194	-51.4802556506	-43.1674373859	-51.4892876232	-43.4397363074	-46.6260809971	-45.394089904	-41.5606822956	-19.8803952599	-41.6541136995	-33.2753764535
1147186011_old.mp4	-11.9548707514	2.0372542748	-38.0432847029	-45.2561498483	-36.859925386	-45.5086019272	-36.9984755286	-42.5828442907	-40.7206229474	-37.1641104992	-18.8176166471	-38.5704681515	-32.6014580717
1117927406_old.mp4	-1.59261440026	3.71593496581	-37.8520083815	-44.2026361088	-36.7127214815	-43.910207325	-36.8609344033	-35.5746961517	-36.1774246116	-30.7373298826	-15.6275985581	-30.790190285	-25.6083425059
1161737720_old.mp4	-19.4880785439	-7.00776604064	-47.4383199717	-52.5149779032	-46.5263412125	-53.7218278959	-47.5544382863	-47.8986079052	-46.0231875658	-42.369765654	-23.9402831214	-41.514279422	-37.5821767486
952546853_old.mp4	-14.0015548822	-0.402874297752	-52.0165027722	-56.8209682935	-50.7993059268	-56.6599140106	-50.0462036338	-50.406862076	-49.3399679037	-46.1467686368	-22.6409944607	-48.0321456889	-40.6976127038
906992268_old.mp4	-15.2104122926	-14.0779281058	-22.8451076948	-30.0047441339	-21.6523855803	-22.1304339457	-12.5299198992	-18.8925071481	-20.0339631244	-14.1544449205	-15.8372093677	-23.0550712589	-3.91015696735
957309890_old.mp4	-24.8479139415	-21.0947845901	-52.6863299429	-65.0199714389	-51.9231710003	-64.6214806546	-51.6554569563	-57.5674186683	-52.7481281579	-47.3344629981	0.52358493343	-24.8101711989	-24.6537938074
1100460081_old.mp4	-9.82862571804	1.79855058971	-38.4770544867	-44.8765093629	-37.0378659959	-44.0793625417	-35.8226453566	-38.0768021511	-36.9932790191	-32.4555908342	-17.4929003666	-35.3497914349	-28.5094165266
751239771_old.mp4	-36.0930325628	-22.9534744447	-64.5381791166	-71.2785136827	-63.8821265666	-69.7903794531	-62.4762427389	-68.5047311734	-65.9253133089	-63.3258444929	-19.1169997932	-57.053612214	-48.6238739201
894099012_old.mp4	-4.33032550202	2.37896532899	-22.5762290675	-29.3904347241	-21.2905205277	-30.2391734252	-22.3646364143	-29.9073130062	-28.4237246326	-25.2153765404	-17.4200618044	-23.8908719773	-18.8701907037
626659876_old.mp4	-20.3339867746	-14.9753552931	-51.5520998296	-58.0616056273	-50.4043253228	-57.2306539299	-50.202607991	-54.5903861781	-53.0343001432	-46.9115161111	-17.3134365093	-42.4457560855	-38.0718085191
391164745_old.mp4	-18.4355403637	-1.30787857584	-57.2201674325	-61.5528717049	-56.1860152351	-60.948752658	-55.8168144983	-55.9951179541	-54.3253124701	-52.0206296241	-21.155249155	-51.3805881496	-46.4946013174
1163662590_old.mp4	-10.2733560189	1.94643182559	-28.7624789571	-41.1698775857	-29.8859674226	-41.5610510478	-28.3441091544	-31.3015275572	-29.088807536	-26.5798564135	-19.6974900594	-28.1926876224	-21.5526360103
652478990_old.mp4	-9.94972767961	-0.863224785672	-39.2191531295	-48.3301230387	-37.4381720818	-48.2759829034	-37.7091212327	-42.2940118014	-40.967786501	-33.2831726508	-18.6098836277	-36.4502257654	-30.9709051282
811132625_old.mp4	-12.8222297135	-1.41842197232	-54.2652726688	-58.2084622397	-53.6249343626	-58.3543711408	-53.6934512923	-53.5435792519	-51.7399384984	-48.7404177213	-16.4071131752	-44.7544250388	-41.609262279
1104467716_old.mp4	-17.8588656805	-5.06827455246	-32.5058871356	-41.5716587906	-31.4019002197	-41.3619036835	-30.7585620331	-34.3407880653	-32.1312639174	-26.8493463534	-20.6107012853	-32.2190416118	-15.5643679909
844210999_old.mp4	-16.1691388359	-4.44603075372	-46.3772909956	-53.823137141	-44.7403545816	-53.3495276059	-44.1518950972	-49.3172829167	-47.9820766901	-45.0131581959	-19.7328581247	-42.5544481231	-36.1417394484
391269500_old.mp4	-11.7359934478	-2.58941374125	-50.3971275017	-59.4265607907	-48.6277708527	-57.4713236376	-47.0339165104	-54.3263280514	-52.7743447803	-51.2486270866	-14.3413225715	-48.8676749921	-41.7016776938
1057524681_old.mp4	-26.5324530051	-10.9887114582	-31.3035489917	-39.6713919192	-29.7141651552	-36.5269941368	-26.7547089445	-36.8605332274	-36.7243269969	-31.5584646199	-29.5395828667	-31.9673526083	-13.0638034922
1171533178_old.mp4	-21.3498780316	-6.67446193294	-51.5645547989	-58.9996328108	-50.9133930223	-58.3650212737	-50.9542529546	-58.5756562001	-56.2567777183	-53.2225715306	-17.5370768652	-49.9320107654	-42.812176686
1014679136_old.mp4	-17.3001007309	-3.05321501219	-50.4765386521	-56.6583622457	-49.3836304336	-56.1015037576	-48.8278878736	-51.0253274203	-49.5759662399	-45.6829355037	-17.1161076975	-43.2090058612	-38.4130370919
658190186_old.mp4	-11.2799665053	-5.80915651114	-30.6001699449	-36.0394953859	-29.4496037623	-36.1005848613	-29.5979271169	-34.408041511	-33.1779826801	-28.432348967	-16.4256965747	-25.0382358826	-12.8990700699
630217362_old.mp4	-18.5455092612	-12.1619486768	-29.9127601675	-41.5298283201	-29.0475651115	-41.7824573353	-28.3840181846	-37.9007455023	-37.5242316048	-31.4964955017	-21.7428385637	-30.8311243463	-14.655372465
664902379_old.mp4	-16.1658202247	-5.4630638799	-39.5815072787	-47.8813453995	-38.4585304369	-48.3861518372	-38.0476466025	-40.375238119	-39.5436694743	-34.7967337606	-22.3758855927	-34.6246409687	-20.3183674737
1051267389_old.mp4	-12.7983196469	-9.16675594162	-36.6931135654	-40.9741343584	-35.3566614074	-39.2418110973	-33.1867496321	-37.7258951434	-37.0570064105	-32.4362445046	-15.5504445597	-27.9130508347	-19.9146047933
361970560_old.mp4	-15.536272095	-3.78353929285	-33.065419457	-40.9775547924	-31.9828570945	-40.7620716353	-31.994572183	-28.8825161904	-28.2352757171	-25.5392398137	-18.1441338789	-28.644113964	-15.5090386225
920273115_old.mp4	-21.087188124	-9.53101571071	-47.5787563828	-55.0775803044	-46.2802211306	-55.6634743762	-47.4037351123	-52.1988422613	-50.0772810536	-45.700088014	-18.9156314079	-42.6309180969	-34.7279189072
535539246_old.mp4	-15.3597543626	-0.286390667638	-45.2987171904	-53.9663546693	-44.5081348879	-54.1391138417	-44.5984170182	-52.3445748886	-49.3166183324	-45.5828831853	-19.5661679554	-43.5549342209	-33.2525537763
1018992431_old.mp4	-17.8841273112	-7.63003264878	-54.6303564179	-60.3654299775	-53.6500068946	-60.7624321775	-54.1957975893	-55.0670551138	-53.2875646177	-50.4403200611	-15.0368568084	-43.9496674386	-39.8081970395
573903512_old.mp4	-18.3737539861	-12.1550691035	-37.8715179384	-44.0430593181	-36.8128653186	-42.8932601884	-34.3649848724	-43.7124093517	-42.5125923831	-35.7918557718	-21.6020311392	-35.2300826293	-24.8299208885
865389383_old.mp4	-9.30672473572	1.68820346154	-31.5512231631	-39.8653046731	-30.0772044647	-40.0786170035	-28.9492781635	-28.8017190862	-27.7562843577	-23.1122050239	-19.9829486316	-18.8798273128	-12.6248854941
1029351615_old.mp4	-1.77305975996	7.65136585447	-40.4050350632	-44.7891555728	-39.1689807324	-42.5217860183	-37.0848202802	-41.01716676	-40.6014068568	-36.9937556078	-18.6309991484	-39.309815078	-31.6372467412
399494504_old.mp4	-25.7067680746	-12.2242460831	-47.5781647874	-57.1970477027	-46.5536404334	-56.3445644222	-45.4783955191	-52.2512343584	-50.3140930669	-46.6808330823	-17.1281258733	-39.1244732357	-27.6253057919
1161618652_old.mp4	-23.0296485646	-18.2348561449	-46.0189410499	-52.588473831	-45.3694046414	-50.5685344084	-40.982461032	-44.1548055811	-43.2180644733	-37.3328031721	-26.6886664243	-39.7702699104	-17.133668391
889439263_old.mp4	-12.3345975581	-2.91924145202	-45.8004715502	-51.0500805441	-44.6283132348	-49.7067984901	-42.8360011957	-41.4588137871	-40.5846545432	-36.5864928933	-22.7326305277	-39.3652051932	-29.1394361106
884731639_old.mp4	-3.45059317667	5.84576736323	-41.4570680644	-46.4780922947	-40.2552927907	-45.2208918289	-39.0234075728	-41.3437573498	-40.4095113178	-38.3695453859	-17.1246332188	-34.1101035061	-27.5421466612
504551105_old.mp4	-11.6885921403	-0.380210736437	-36.1249423109	-43.1239302554	-34.8970538954	-39.3662981097	-30.5644735207	-28.5217816858	-28.4469932003	-23.3459752692	-15.7493352617	-34.0562250777	-13.9446856186
560597688_old.mp4	-7.24148030159	0.0307149517731	-30.6189659946	-36.8362403781	-29.3979160309	-32.2069672211	-24.1289417933	-27.6001471148	-26.2286132178	-22.0409668464	-13.8569624712	-23.676750164	-19.0823846373
1027486156_old.mp4	-12.8133402644	-1.79235281862	-52.8765693693	-59.9760735725	-52.2865733991	-59.3397732628	-50.9213386776	-57.4616811225	-54.0540773433	-51.4091911375	-19.1278515355	-45.2860886794	-36.5823890337
708232346_old.mp4	-10.9414395068	8.25567956326	-42.7272406782	-52.7134735799	-42.2959307824	-49.7290821577	-39.5114762357	-43.0402724259	-41.402344055	-36.5151979551	-18.3341193124	-36.5607939815	-26.8878185417
590546720_old.mp4	-28.0088013664	-20.3759016303	-56.0555554211	-63.3270153435	-55.3976023796	-63.2955800088	-56.3714685427	-63.3605895374	-61.410720482	-58.0185222201	-26.0430722468	-45.6059878365	-41.7346586878
650279042_old.mp4	-23.7179349756	-14.9145042581	-51.339069145	-59.6694898365	-50.1930198009	-60.9575932972	-51.2652470804	-54.7279001029	-52.4769475317	-47.1673136301	-28.5015354806	-50.9270456297	-41.4681860864
1014584164_old.mp4	-15.2183612264	-6.51211484505	-47.7892299877	-57.1002270558	-47.161622554	-56.1451399641	-46.3372069191	-45.5933326356	-43.2609220812	-37.4160269272	-18.3316814006	-45.038678763	-43.0909654014
VID_20160725_091502.mp4	-14.1896405847	-5.47029465923	-36.7057154959	-44.3730872375	-35.8763751101	-43.1887362873	-34.7312458836	-38.4970626819	-36.9635519131	-32.9897030621	-21.629231863	-37.8643426661	-24.3379389576
731194157_old.mp4	-8.77025219901	2.64305442617	-41.6490319578	-49.3084963611	-40.6015813875	-48.3247975804	-40.5164817504	-39.1455141726	-36.5402560527	-34.2617104152	-18.5004666049	-37.8798364447	-23.3424593231
686529697_old.mp4	-7.90287676435	1.63593313714	-20.7635244642	-33.298037933	-18.9826914618	-24.1692514188	-6.21421958641	-30.9472509971	-28.1912929985	-22.2824435752	-20.8273507676	-32.0213511047	-18.8150821868
555410317_old.mp4	-11.9245984109	0.952371709465	-48.922735368	-53.1602496179	-47.4009212182	-53.0145845119	-46.9620160758	-50.0255252131	-48.7477207895	-46.8708604068	-17.7136630153	-43.4889412793	-39.6438936998
1125180655_old.mp4	-1.8969500626	5.53004365722	-28.4512134708	-34.6623570322	-27.0006341222	-34.4009457011	-26.3829468787	-35.69301066	-33.5530351296	-29.7123843273	-15.1174078272	-28.7767345324	-25.0185348678
