filename 	h264_qsv_medium	h264_qsv_veryfast	hevc_qsv_hw_faster	hevc_qsv_hw_medium	hevc_qsv_hw_veryfast	hevc_qsv_sw_medium	hevc_qsv_sw_veryfast	qy265_medium	qy265_fast	qy265_veryfast	x264_medium	x265_medium	x265_veryfast
371894311_old.mp4	-10.110924728	13.3325104624	-54.4893711918	-59.1515797378	-53.9143378279	-58.2968984331	-52.9006910293	-49.7431714747	-47.9311288332	-41.9660082941	-12.8866546053	-40.1699477531	-34.9668914936
888473142_old.mp4	-7.68433296057	4.71258152563	-33.1922115415	-41.0330766211	-32.0471416718	-41.36620064	-31.0687816336	-34.7921466949	-32.7236672602	-27.9911356025	-17.4309580954	-29.7038825579	-25.8907433505
923374493_old.mp4	-5.92753796385	12.5102831852	-33.3763984404	-41.1709113218	-32.3588352043	-41.8717484276	-33.3908313439	-35.1749709524	-33.6148653316	-29.5794882957	-14.9799098686	-39.5876714455	-32.3420097914
1147186011_old.mp4	-4.32665229154	11.9434040474	-31.9388877728	-37.7976918548	-31.0146479578	-37.9868188348	-31.2748929908	-37.1820919905	-35.2006763309	-31.8656571328	-14.0507610422	-37.404721975	-34.2765881315
1117927406_old.mp4	-6.07881028324	-1.39751235548	-38.023149963	-43.1992382756	-36.6935477383	-42.4194596353	-36.6405775829	-36.7575876358	-36.8567662821	-30.2045258519	-12.3268554608	-39.367951715	-27.4262250227
1161737720_old.mp4	-14.6897526978	3.31766389024	-40.2746291608	-47.0070884621	-39.6816986222	-47.8404139709	-40.6345238575	-41.789188373	-39.4906673839	-35.1677163866	-21.9815932467	-38.794166196	-35.3185769201
952546853_old.mp4	-5.33043457852	11.7129602962	-44.3781664623	-48.8353208553	-43.4143233636	-48.71556576	-42.4481321079	-41.0492013132	-40.0071771237	-36.7157737476	-16.7444588724	-45.3161772914	-39.0556801223
906992268_old.mp4	-14.9331556454	-14.618982385	-22.392323646	-26.8137398169	-20.5617697922	-17.1478545433	-12.1647127791	-25.8850960006	-26.0507486966	-21.2136816583	-16.9204722875	-37.8053848652	-18.9438590756
957309890_old.mp4	-7.9536453478	-8.05677226799	-41.9121422789	-51.7621567076	-41.460565375	-49.7083752091	-39.2515214982	-42.5862524308	-37.5431225028	-30.8161485419	29.0971295203	7.55235944838	3.3360648166
1100460081_old.mp4	-3.83086232615	11.1960846853	-32.623722743	-38.4029985119	-31.3815453562	-36.9513153476	-29.2884660132	-32.7814262574	-31.3965771332	-26.897679169	-14.3121332752	-37.2862319207	-32.729905642
751239771_old.mp4	-27.206133171	-11.9017765308	-52.6527460665	-61.6703487581	-51.9273025995	-60.2063184956	-50.5433149508	-60.4610209884	-57.6110280416	-53.7930741572	-10.7415332825	-47.9372880013	-39.8859193701
894099012_old.mp4	-2.17631689801	9.11609293876	-17.3112559808	-23.3580154187	-16.5681465928	-25.0731113965	-18.3272294924	-31.3204260383	-29.4782065629	-25.1044277984	-20.755205984	-34.3787371622	-29.1085605094
626659876_old.mp4	-4.79919555175	-0.274942012815	-42.8697800331	-49.4637962142	-41.5931160037	-48.6175218981	-41.3840070798	-43.5270334324	-41.2639013945	-33.9966297405	-10.0852289414	-38.9676608692	-35.614815698
391164745_old.mp4	-11.986000006	9.17182931786	-53.0936141461	-57.1958821399	-52.1259146741	-58.1132511432	-53.2801537225	-48.0837685819	-46.2585231644	-43.6350619796	-16.8061686431	-49.5292398512	-45.9772894696
1163662590_old.mp4	1.72857589798	23.0779813839	-23.789760627	-31.7965867891	-23.3682503708	-32.8198962695	-23.7721603417	-26.4460662916	-23.6715155073	-19.2146153391	-20.3586145176	-35.3774856695	-28.4311280851
652478990_old.mp4	-1.45019314266	11.3151127329	-31.6625369127	-40.1933521002	-29.6812964805	-39.9015345344	-29.0213103892	-33.8587110211	-32.3528310913	-23.3311413618	-16.7204866531	-38.2202737079	-30.7363879396
811132625_old.mp4	-6.39821624153	4.05769734529	-49.4194464069	-52.7138995033	-48.9104003455	-52.3549150732	-48.7133439228	-47.9134047695	-45.6666553478	-41.9889693525	-8.63086078131	-38.659754588	-36.5263814173
1104467716_old.mp4	-11.3894322034	10.3269594124	-23.1100756826	-31.8487015342	-22.2612823936	-31.1257569124	-21.1028219262	-23.1262792097	-21.2319195352	-15.4830916262	-17.857238519	-33.7752159155	-19.1008151916
844210999_old.mp4	-8.83294408454	7.00047152813	-40.6913222317	-46.9556401598	-39.5795368101	-46.5858861572	-38.801831974	-42.9291839853	-41.2042825017	-37.7805840874	-15.5043462327	-39.4147489166	-34.4572115363
391269500_old.mp4	-4.76599358265	7.30829947972	-40.0547166998	-52.5071657259	-38.9656162887	-52.2239419709	-35.1048779479	-46.6250647422	-44.7323953196	-41.8551235853	-13.1474750722	-44.1979167723	-37.7164007069
1057524681_old.mp4	-26.1670862037	-8.74877434058	-35.1483813636	-39.2808347026	-34.1406046688	-37.7279920849	-30.6102897689	-33.1930773241	-32.9947497124	-27.3924946542	-29.5747469749	-32.237239389	-18.6258671998
1171533178_old.mp4	-12.3859469558	8.79847355657	-41.6699419295	-50.6716649522	-40.7827440692	-50.1911779486	-41.3103721265	-51.8633560891	-48.7403020069	-45.1197834374	-13.8521742038	-46.2556000646	-42.1643386159
1014679136_old.mp4	-12.4482944506	4.99564411751	-46.5650559383	-52.7108008895	-45.5392608862	-52.1510492749	-44.4078120974	-45.5843375149	-43.4065092626	-39.2320053257	-9.12479627302	-41.9915131272	-40.7186473523
658190186_old.mp4	-6.51918056164	0.239778761636	-26.7797792383	-30.9044644849	-26.0616855251	-31.3453286316	-26.4197866207	-34.4028836587	-32.2328936227	-27.5946112051	-14.9315180106	-31.6452998501	-22.7054798205
630217362_old.mp4	-15.6732629611	-6.96122598536	-30.5690426493	-35.9519832107	-29.6734717393	-36.2780919014	-29.3440529195	-33.2851744438	-33.0816117699	-26.5712807139	-20.9638185517	-35.4519455776	-21.1645306188
664902379_old.mp4	-15.2474127836	-1.28777643693	-36.581927947	-43.5409605367	-35.7572683924	-43.4251421367	-34.0859929812	-39.6832114858	-37.8625959233	-32.1033980537	-15.5678663812	-39.3449436453	-19.488208801
1051267389_old.mp4	-10.5425585237	-6.49110328498	-35.1182661862	-38.415960884	-34.0223759379	-35.9471865581	-31.2779352798	-39.01875856	-37.7050019441	-33.1413786896	-13.9628614995	-39.7560215111	-32.0518684614
361970560_old.mp4	-7.8683879964	6.60748493004	-26.6163587147	-33.4793734661	-25.7297960327	-33.3415794048	-25.3819210854	-23.4922774283	-22.6329458781	-19.3853334511	-16.2143001252	-33.7066069746	-19.8849443625
920273115_old.mp4	-10.5810011386	5.6548982493	-38.2230989455	-45.5784674281	-37.1940086972	-46.6865450773	-38.3602188523	-40.7189872669	-38.4112591919	-32.7437406735	-13.337382175	-38.9406871282	-33.6392877313
535539246_old.mp4	-1.65327723432	18.0481075426	-33.4606323416	-40.6318074048	-32.5400554094	-41.7270426379	-33.2436545529	-41.3070557899	-37.3837684627	-34.4600180418	-15.6108443357	-40.1625215772	-32.5796704454
1018992431_old.mp4	-15.3360658865	-6.567840039	-47.9613598958	-54.0148426111	-47.1907340819	-54.7500517102	-48.4215839643	-44.176750673	-41.7234967169	-37.6531865814	-8.92322764269	-33.0726493841	-27.4297450698
573903512_old.mp4	-14.8708391109	-7.77038065989	-36.165476438	-41.4603076019	-35.5098514824	-39.2071955564	-31.9440855724	-43.6362588655	-41.0141808181	-34.9884227033	-21.9508211501	-43.3052532099	-33.5404229905
865389383_old.mp4	-4.73970826081	10.2687823541	-24.1632652233	-32.7271985693	-22.519594858	-34.1374103115	-21.625187895	-21.0873860748	-19.0089541351	-10.4399488588	-16.2049669343	-27.3600466364	-16.4331748462
1029351615_old.mp4	4.52705646946	19.7931959953	-39.3801466539	-43.4418395287	-38.6386289434	-40.493085149	-35.9021069674	-41.8311147142	-41.5584971142	-37.5813015669	-16.0050338116	-43.7133259262	-35.7531317083
399494504_old.mp4	-18.1953846759	4.53304424675	-37.9675794944	-47.3341748608	-37.3692961597	-47.3448938099	-36.4727243817	-42.7734194095	-41.9385815358	-37.4472098369	-11.0755976801	-35.1833467158	-24.4822057566
1161618652_old.mp4	-27.9917786589	-23.1088596168	-48.5636817156	-54.6660307186	-47.6417055012	-52.5192427257	-44.1634791065	-48.1796240376	-47.199470341	-40.9750394536	-31.9873678694	-50.4545112287	-24.3837914213
889439263_old.mp4	-12.6639814382	-0.663470379483	-46.8466176977	-51.0513089867	-46.0380563713	-49.3496271016	-43.8896513037	-42.5817951997	-41.2926246099	-36.8495491417	-20.0672698603	-45.5749613374	-35.6366576113
884731639_old.mp4	-1.761894967	6.30861766735	-41.4029919967	-46.303943628	-40.4236614526	-45.4276390428	-39.9749344063	-31.0933049155	-29.6771285714	-25.2508222161	-13.3911020754	-33.3510109599	-22.997925516
504551105_old.mp4	-7.92940870522	5.60477841156	-30.1450272349	-35.8973950759	-28.728237732	-32.7746187192	-24.4167432696	-20.7823091519	-21.5541405834	-11.3525408825	-10.8420633036	-35.7574258528	-10.6234838279
560597688_old.mp4	-1.65360155836	7.05887160484	-29.0397715898	-33.6389411604	-27.8510587994	-28.961934523	-22.7373890297	-27.9638618865	-25.5724806088	-19.9733548187	-12.9472447936	-35.1842300876	-28.7580874269
1027486156_old.mp4	2.00337412956	14.3817973117	-38.9229653738	-47.3370177984	-38.2292918134	-48.0035658834	-37.6329833779	-44.9387618102	-38.125142136	-35.992250506	-4.97442608643	-38.3190701711	-32.6959403781
708232346_old.mp4	-9.9588700913	14.4485918668	-38.9551590166	-46.6540463368	-38.7046719954	-45.4952380627	-36.9070993004	-37.0677143141	-31.7688055564	-29.5654373535	-15.2468070754	-37.7603686403	-29.2466152096
590546720_old.mp4	-23.375049071	-16.4525998341	-48.4220734937	-58.2033791173	-47.6818011676	-57.5172003865	-48.8055173396	-57.3387736984	-54.5493425835	-52.7871437397	-22.6476204104	-39.3774333857	-35.5394381881
650279042_old.mp4	-13.6961997073	-3.47838307559	-43.9688283505	-53.131591402	-43.0654855588	-54.3669162342	-44.5016755897	-46.9144863013	-44.1544000187	-38.7065594733	-21.0893120371	-46.5644092663	-37.5497094172
1014584164_old.mp4	4.07614881201	12.4741366474	-47.2845929527	-51.1302506194	-46.4929172546	-50.3590364426	-45.6214229411	-41.8912953315	-38.7403701068	-26.9899461717	-19.6117902468	-42.1215825716	-41.2943291839
VID_20160725_091502.mp4	0.0172149145803	12.330099161	-27.8243316839	-33.2693922037	-27.1720595089	-32.0580419552	-25.2582570273	-20.7849748079	-19.7227101528	-15.7698249946	-12.1119107691	-36.907009429	-24.6203530079
731194157_old.mp4	-3.31831613348	9.98951901739	-26.1151262431	-33.9736510331	-25.3112258003	-34.0632485299	-26.1487136083	-26.9995377423	-24.1576218295	-22.5695513028	-16.0071392603	-39.4275060866	-27.0436487547
686529697_old.mp4	-12.4247022698	-1.06101838762	-22.3221874186	-30.5440971969	-21.208114931	-24.9103500236	-9.48130164972	-29.5648939968	-27.1361225093	-19.4488984803	-17.4439724329	-38.0329708678	-18.8506488391
555410317_old.mp4	-6.64235749929	8.61998149849	-45.1750476025	-48.6966531505	-44.2228034341	-48.7192841243	-43.4913615076	-41.5952495776	-39.3637196141	-37.4973220463	-13.4026779112	-39.7567875062	-37.2335530004
1125180655_old.mp4	3.12310154883	16.0336389563	-20.2771847181	-24.96400298	-19.1911381555	-27.9205337555	-21.1589618338	-34.68168171	-31.885615615	-25.4939658926	-19.7435093024	-42.6086324863	-33.9504542289
